ID,Use for zillow scrape
3656,"https://www.zillow.com/homes/4001-TARA-DR-COLLEYVILLE,-TX-_rb/"
4620,"https://www.zillow.com/homes/3901-WHT-SETTLEMENT-RD-FORT-WORTH,-TX-_rb/"
5468,"https://www.zillow.com/homes/1944-6TH-AVE-FORT-WORTH,-TX-_rb/"
6647,"https://www.zillow.com/homes/3808-ARROYO-RD-FORT-WORTH,-TX-_rb/"
7005,"https://www.zillow.com/homes/3417-BRISTOL-RD-FORT-WORTH,-TX-_rb/"
7235,"https://www.zillow.com/homes/1407-LIPSCOMB-ST-FORT-WORTH,-TX-_rb/"
7252,"https://www.zillow.com/homes/1808-6TH-AVE-FORT-WORTH,-TX-_rb/"
8109,"https://www.zillow.com/homes/1932-CHATBURN-CT-FORT-WORTH,-TX-_rb/"
8335,"https://www.zillow.com/homes/3557-BELLAIRE-DR-S-FORT-WORTH,-TX-_rb/"
8759,"https://www.zillow.com/homes/1409-TRADEWIND-ST-GRAPEVINE,-TX-_rb/"
10272,"https://www.zillow.com/homes/1053-SUNSET-CT-KELLER,-TX-_rb/"
10305,"https://www.zillow.com/homes/2141-FAWKES-LN-KELLER,-TX-_rb/"
10320,"https://www.zillow.com/homes/1904-WILLIS-LN-KELLER,-TX-_rb/"
10326,"https://www.zillow.com/homes/1512-BELLECHASE-DR-KELLER,-TX-_rb/"
10335,"https://www.zillow.com/homes/2121-FAWKES-LN-KELLER,-TX-_rb/"
10379,"https://www.zillow.com/homes/421-GLEN-DR-KELLER,-TX-_rb/"
10388,"https://www.zillow.com/homes/1665-SUMMER-LN-KELLER,-TX-_rb/"
10475,"https://www.zillow.com/homes/1251-JOHNSON-RD-KELLER,-TX-_rb/"
10480,"https://www.zillow.com/homes/700-LEDARA-LN-KELLER,-TX-_rb/"
10597,"https://www.zillow.com/homes/12012-QUAIL-RUN-RD-MANSFIELD,-TX-_rb/"
10604,"https://www.zillow.com/homes/2775-NELSON-WYATT-RD-MANSFIELD,-TX-_rb/"
10615,"https://www.zillow.com/homes/1102-COUNTRY-CLUB-CT-MANSFIELD,-TX-_rb/"
10629,"https://www.zillow.com/homes/6795-HUDSON-CEMETERY-RD-MANSFIELD,-TX-_rb/"
10636,"https://www.zillow.com/homes/5340-BENNETT-LAWSON-RD-MANSFIELD,-TX-_rb/"
10654,"https://www.zillow.com/homes/1125-N-DAY-MIAR-RD-MANSFIELD,-TX-_rb/"
10656,"https://www.zillow.com/homes/506-N-WALNUT-CREEK-DR-MANSFIELD,-TX-_rb/"
10661,"https://www.zillow.com/homes/320-CARLIN-RD-MANSFIELD,-TX-_rb/"
10675,"https://www.zillow.com/homes/804-MUIRFIELD-DR-MANSFIELD,-TX-_rb/"
11497,"https://www.zillow.com/homes/2802-KNOTTED-OAKS-TR-,-TX-_rb/"
12615,"https://www.zillow.com/homes/14888-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12616,"https://www.zillow.com/homes/14785-LOCHINVAR-DR-ADDISON,-TX-75254_rb/"
12617,"https://www.zillow.com/homes/14884-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12618,"https://www.zillow.com/homes/14785-BUCKINGHAM-CT-ADDISON,-TX-75254_rb/"
12619,"https://www.zillow.com/homes/14868-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12620,"https://www.zillow.com/homes/14794-LOCHINVAR-CT-ADDISON,-TX-75254_rb/"
12621,"https://www.zillow.com/homes/14760-LOCHINVAR-DR-ADDISON,-TX-75254_rb/"
12622,"https://www.zillow.com/homes/14796-LOCHINVAR-CT-ADDISON,-TX-75254_rb/"
12623,"https://www.zillow.com/homes/14775-BEDIVERE-CT-ADDISON,-TX-75254_rb/"
12624,"https://www.zillow.com/homes/5309-PALADIUM-DR-ADDISON,-TX-75254_rb/"
12625,"https://www.zillow.com/homes/14800-LOCHINVAR-DR-ADDISON,-TX-75254_rb/"
12626,"https://www.zillow.com/homes/14784-LOCHINVAR-CT-ADDISON,-TX-75254_rb/"
12627,"https://www.zillow.com/homes/14864-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12628,"https://www.zillow.com/homes/14928-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12629,"https://www.zillow.com/homes/5305-PALADIUM-DR-ADDISON,-TX-75254_rb/"
12630,"https://www.zillow.com/homes/14810-LOCHINVAR-DR-ADDISON,-TX-75254_rb/"
12631,"https://www.zillow.com/homes/14774-MAIDEN-CT-ADDISON,-TX-75254_rb/"
12632,"https://www.zillow.com/homes/14797-BUCKINGHAM-CT-ADDISON,-TX-75254_rb/"
12633,"https://www.zillow.com/homes/14765-LOCHINVAR-DR-ADDISON,-TX-75254_rb/"
12634,"https://www.zillow.com/homes/14874-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12635,"https://www.zillow.com/homes/5321-PALADIUM-DR-ADDISON,-TX-75254_rb/"
12636,"https://www.zillow.com/homes/14783-BUCKINGHAM-CT-ADDISON,-TX-75254_rb/"
12637,"https://www.zillow.com/homes/14885-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12638,"https://www.zillow.com/homes/14901-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12639,"https://www.zillow.com/homes/14793-BUCKINGHAM-CT-ADDISON,-TX-75254_rb/"
12640,"https://www.zillow.com/homes/14786-LOCHINVAR-CT-ADDISON,-TX-75254_rb/"
12641,"https://www.zillow.com/homes/14889-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12642,"https://www.zillow.com/homes/14950-TRAFALGAR-CT-ADDISON,-TX-75254_rb/"
12643,"https://www.zillow.com/homes/14873-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12644,"https://www.zillow.com/homes/14936-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12645,"https://www.zillow.com/homes/14764-MAIDEN-CT-ADDISON,-TX-75254_rb/"
12646,"https://www.zillow.com/homes/14765-BEDIVERE-CT-ADDISON,-TX-75254_rb/"
12647,"https://www.zillow.com/homes/14942-TRAFALGAR-CT-ADDISON,-TX-75254_rb/"
12648,"https://www.zillow.com/homes/14932-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12649,"https://www.zillow.com/homes/14857-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12650,"https://www.zillow.com/homes/14820-LOCHINVAR-DR-ADDISON,-TX-75254_rb/"
12651,"https://www.zillow.com/homes/14937-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12652,"https://www.zillow.com/homes/14860-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12653,"https://www.zillow.com/homes/14858-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12654,"https://www.zillow.com/homes/14781-BUCKINGHAM-CT-ADDISON,-TX-75254_rb/"
12655,"https://www.zillow.com/homes/14974-TRAFALGAR-CT-ADDISON,-TX-75254_rb/"
12656,"https://www.zillow.com/homes/14917-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12657,"https://www.zillow.com/homes/14978-TRAFALGAR-CT-ADDISON,-TX-75254_rb/"
12658,"https://www.zillow.com/homes/14768-MAIDEN-CT-ADDISON,-TX-75254_rb/"
12659,"https://www.zillow.com/homes/14941-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12660,"https://www.zillow.com/homes/14853-OAKS-NORTH-PL-ADDISON,-TX-75254_rb/"
12661,"https://www.zillow.com/homes/14933-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12662,"https://www.zillow.com/homes/14905-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12663,"https://www.zillow.com/homes/14945-OAKS-NORTH-DR-ADDISON,-TX-75254_rb/"
12814,"https://www.zillow.com/homes/713-NULL-SPANISH-MAIN-DR-NULL-APOLLO-BEACH,-FL-_rb/"
12879,"https://www.zillow.com/homes/6423-NULL-LAKE-SUNRISE-DR-NULL-APOLLO-BEACH,-FL-_rb/"
12895,"https://www.zillow.com/homes/1002-NULL-SPINDLE-PALM-WAY-NULL-APOLLO-BEACH,-FL-_rb/"
12909,"https://www.zillow.com/homes/926-SPINDLE-PALM-WAY-APOLLO-BEACH,-FL-_rb/"
13388,"https://www.zillow.com/homes/4643-NULL-JOHN-MOORE-RD-NULL-BRANDON,-FL-33511_rb/"
13429,"https://www.zillow.com/homes/3432-NULL-HOLLAND-DR-NULL-BRANDON,-FL-_rb/"
